carbonmark_key,project_id,registry,price_usd,observed_at,source
UCR-423,UCR423,UCR,0.1,2026-09-03T04:11:39.331686,carbonmark
UCR-320,UCR320,UCR,0.1,2026-09-03T04:11:39.331686,carbonmark
UCR-121,UCR121,UCR,0.1,2026-09-03T04:11:39.331686,carbonmark
UCR-285,UCR285,UCR,0.1,2026-09-03T04:11:39.331686,carbonmark
UCR-170,UCR170,UCR,0.1,2026-09-03T04:11:39.331686,carbonmark
UCR-150,UCR150,UCR,0.1,2026-09-03T04:11:39.331686,carbonmark
UCR-433,UCR433,UCR,0.1,2026-09-03T04:11:39.331686,carbonmark
UCR-419,UCR419,UCR,0.1,2026-09-03T04:11:39.331686,carbonmark
UCR-356,UCR356,UCR,0.1,2026-09-03T04:11:39.331686,carbonmark
UCR-341,UCR341,UCR,0.1,2026-09-03T04:11:39.331686,carbonmark
UCR-80,UCR80,UCR,0.1,2026-09-03T04:11:39.331686,carbonmark
UCR-438,UCR438,UCR,0.1,2026-09-03T04:11:39.331686,carbonmark
UCR-420,UCR420,UCR,0.1,2026-09-03T04:11:39.331686,carbonmark
UCR-436,UCR436,UCR,0.1,2026-09-03T04:11:39.331686,carbonmark
UCR-437,UCR437,UCR,0.1,2026-09-03T04:11:39.331686,carbonmark
UCR-50,UCR50,UCR,0.1,2026-09-03T04:11:39.331686,carbonmark
UCR-367,UCR367,UCR,0.1,2026-09-03T04:11:39.331686,carbonmark
UCR-81,UCR81,UCR,0.1,2026-09-03T04:11:39.331686,carbonmark
UCR-164,UCR164,UCR,0.1,2026-09-03T04:11:39.331686,carbonmark
CMARK-0,CMARK0,CMARK,0.1,2026-09-03T04:11:39.331686,carbonmark
VCS-191,VCS191,VCS,0.14,2026-09-03T04:11:39.331686,carbonmark
TVER-0,TVER0,TVER,0.14,2026-09-03T04:11:39.331686,carbonmark
VCS-836,VCS836,VCS,0.28,2026-09-03T04:11:39.331686,carbonmark
VCS-784,VCS784,VCS,0.406,2026-09-03T04:11:39.331686,carbonmark
VCS-850,VCS850,VCS,0.686,2026-09-03T04:11:39.331686,carbonmark
VCS-766,VCS766,VCS,0.686,2026-09-03T04:11:39.331686,carbonmark
VCS-1356,VCS1356,VCS,0.686,2026-09-03T04:11:39.331686,carbonmark
VCS-896,VCS896,VCS,0.7,2026-09-03T04:11:39.331686,carbonmark
VCS-849,VCS849,VCS,0.7,2026-09-03T04:11:39.331686,carbonmark
VCS-817,VCS817,VCS,0.7,2026-09-03T04:11:39.331686,carbonmark
VCS-566,VCS566,VCS,0.7,2026-09-03T04:11:39.331686,carbonmark
VCS-476,VCS476,VCS,0.7,2026-09-03T04:11:39.331686,carbonmark
VCS-986,VCS986,VCS,0.728,2026-09-03T04:11:39.331686,carbonmark
VCS-708,VCS708,VCS,0.728,2026-09-03T04:11:39.331686,carbonmark
VCS-2098,VCS2098,VCS,0.728,2026-09-03T04:11:39.331686,carbonmark
VCS-631,VCS631,VCS,0.77,2026-09-03T04:11:39.331686,carbonmark
VCS-426,VCS426,VCS,0.77,2026-09-03T04:11:39.331686,carbonmark
VCS-1205,VCS1205,VCS,0.77,2026-09-03T04:11:39.331686,carbonmark
VCS-10,VCS10,VCS,0.77,2026-09-03T04:11:39.331686,carbonmark
VCS-1718,VCS1718,VCS,0.798,2026-09-03T04:11:39.331686,carbonmark
VCS-1174,VCS1174,VCS,0.826,2026-09-03T04:11:39.331686,carbonmark
VCS-917,VCS917,VCS,0.84,2026-09-03T04:11:39.331686,carbonmark
VCS-1580,VCS1580,VCS,0.84,2026-09-03T04:11:39.331686,carbonmark
VCS-1464,VCS1464,VCS,0.84,2026-09-03T04:11:39.331686,carbonmark
VCS-1427,VCS1427,VCS,0.84,2026-09-03T04:11:39.331686,carbonmark
VCS-1100,VCS1100,VCS,0.84,2026-09-03T04:11:39.331686,carbonmark
VCS-391,VCS391,VCS,0.868,2026-09-03T04:11:39.331686,carbonmark
VCS-1758,VCS1758,VCS,0.896,2026-09-03T04:11:39.331686,carbonmark
VCS-498,VCS498,VCS,0.91,2026-09-03T04:11:39.331686,carbonmark
VCS-1578,VCS1578,VCS,0.91,2026-09-03T04:11:39.331686,carbonmark
VCS-655,VCS655,VCS,0.98,2026-09-03T04:11:39.331686,carbonmark
VCS-2026,VCS2026,VCS,0.98,2026-09-03T04:11:39.331686,carbonmark
VCS-1525,VCS1525,VCS,0.98,2026-09-03T04:11:39.331686,carbonmark
VCS-1195,VCS1195,VCS,0.98,2026-09-03T04:11:39.331686,carbonmark
VCS-1190,VCS1190,VCS,1.008,2026-09-03T04:11:39.331686,carbonmark
VCS-1883,VCS1883,VCS,1.05,2026-09-03T04:11:39.331686,carbonmark
VCS-1258,VCS1258,VCS,1.19,2026-09-03T04:11:39.331686,carbonmark
VCS-786,VCS786,VCS,1.232,2026-09-03T04:11:39.331686,carbonmark
VCS-929,VCS929,VCS,1.26,2026-09-03T04:11:39.331686,carbonmark
VCS-985,VCS985,VCS,1.4,2026-09-03T04:11:39.331686,carbonmark
VCS-1547,VCS1547,VCS,1.4,2026-09-03T04:11:39.331686,carbonmark
VCS-1140,VCS1140,VCS,1.4,2026-09-03T04:11:39.331686,carbonmark
VCS-292,VCS292,VCS,1.456,2026-09-03T04:11:39.331686,carbonmark
VCS-1052,VCS1052,VCS,1.82,2026-09-03T04:11:39.331686,carbonmark
CMARK-3,CMARK3,CMARK,11.9,2026-09-03T04:11:39.331686,carbonmark
CMARK-5,CMARK5,CMARK,14.0,2026-09-03T04:11:39.331686,carbonmark
ICR-172,ICR172,ICR,18.2,2026-09-03T04:11:39.331686,carbonmark
VCS-982,VCS982,VCS,2.8,2026-09-03T04:11:39.331686,carbonmark
VCS-981,VCS981,VCS,2.8,2026-09-03T04:11:39.331686,carbonmark
VCS-68,VCS68,VCS,2.8,2026-09-03T04:11:39.331686,carbonmark
ICR-112,ICR112,ICR,2.8,2026-09-03T04:11:39.331686,carbonmark
CMARK-4,CMARK4,CMARK,21.0,2026-09-03T04:11:39.331686,carbonmark
CMARK-1,CMARK1,CMARK,21.0,2026-09-03T04:11:39.331686,carbonmark
ICR-91,ICR91,ICR,229.0,2026-09-03T04:11:39.331686,carbonmark
TVER-40,TVER40,TVER,23.8,2026-09-03T04:11:39.331686,carbonmark
VCS-1146,VCS1146,VCS,3.22,2026-09-03T04:11:39.331686,carbonmark
VCS-1764,VCS1764,VCS,42.0,2026-09-03T04:11:39.331686,carbonmark
CMARK-2,CMARK2,CMARK,498.040971,2026-09-03T04:11:39.331686,carbonmark
VCS-812,VCS812,VCS,5.096,2026-09-03T04:11:39.331686,carbonmark
REGEN-C02003,REGENC02003,REGEN,5.4036388,2026-09-03T04:11:39.331686,carbonmark
REGEN-C02004,REGENC02004,REGEN,5.4036388,2026-09-03T04:11:39.331686,carbonmark
REGEN-C02006,REGENC02006,REGEN,5.4036388,2026-09-03T04:11:39.331686,carbonmark
VCS-1650,VCS1650,VCS,5.6,2026-09-03T04:11:39.331686,carbonmark
ECO-22,ECO22,ECO,5.6,2026-09-03T04:11:39.331686,carbonmark
ECO-114,ECO114,ECO,5.6,2026-09-03T04:11:39.331686,carbonmark
PUR-244045,PUR244045,PUR,59.8802204,2026-09-03T04:11:39.331686,carbonmark
PUR-175613,PUR175613,PUR,59.8802204,2026-09-03T04:11:39.331686,carbonmark
CMARK-6,CMARK6,CMARK,61.6,2026-09-03T04:11:39.331686,carbonmark
VCS-674,VCS674,VCS,7.0,2026-09-03T04:11:39.331686,carbonmark
ICR-48,ICR48,ICR,81.2,2026-09-03T04:11:39.331686,carbonmark
ICR-349,ICR349,ICR,9.772,2026-09-03T04:11:39.331686,carbonmark
