project_id,observed_price,hedonic_model_price,comparable_model_price,combined_zscore,classification,low_confidence,run_at
VCS191,0.14,0.3986696517669169,0.84,-1.952390068136986,moderate potential undervaluation,False,2026-09-03T04:11:39.453998
VCS985,1.4,3.3103363467204145,5.096,-1.4940006275721616,moderate potential undervaluation,False,2026-09-03T04:11:39.453998
VCS784,0.406,1.1039796850883734,0.91,-1.304000250379604,moderate potential undervaluation,False,2026-09-03T04:11:39.453998
VCS836,0.28,0.6766903919059825,0.7,-1.2780136349340023,moderate potential undervaluation,False,2026-09-03T04:11:39.453998
VCS1883,1.05,2.14273223620089,2.8,-1.1835159121498502,moderate potential undervaluation,False,2026-09-03T04:11:39.453998
VCS426,0.77,2.0490539125974356,1.26,-1.0913960458108887,moderate potential undervaluation,False,2026-09-03T04:11:39.453998
VCS1052,1.82,3.3263508855351662,3.22,-0.8409236691581599,fair value range,False,2026-09-03T04:11:39.453998
VCS2098,0.728,1.2014659286424476,1.4,-0.8115177141340189,fair value range,False,2026-09-03T04:11:39.453998
VCS1580,0.84,1.4102375704272805,1.4,-0.7362460948705296,fair value range,False,2026-09-03T04:11:39.453998
VCS1718,0.798,1.1894205124727286,1.4,-0.6734149334020861,fair value range,False,2026-09-03T04:11:39.453998
VCS1578,0.91,1.4016901325168405,1.4,-0.6179936681999683,fair value range,False,2026-09-03T04:11:39.453998
VCS981,2.8,3.5122863451083255,5.096,-0.5589836874539718,fair value range,False,2026-09-03T04:11:39.453998
VCS766,0.686,0.7467290985235548,1.4,-0.5172608858714743,fair value range,False,2026-09-03T04:11:39.453998
VCS566,0.7,0.9379107894389865,0.98,-0.4484705190137541,fair value range,False,2026-09-03T04:11:39.453998
VCS786,1.232,2.0565895109942285,1.26,-0.42835608876227094,fair value range,False,2026-09-03T04:11:39.453998
VCS929,1.26,2.080395551502646,1.232,-0.39171238951525145,fair value range,False,2026-09-03T04:11:39.453998
VCS631,0.77,0.9402640243106928,0.98,-0.3154169627304815,fair value range,False,2026-09-03T04:11:39.453998
VCS1356,0.686,0.6630825513444846,0.98,-0.20116528860673782,fair value range,False,2026-09-03T04:11:39.453998
VCS986,0.728,0.8184553091043582,0.84,-0.18873287949555473,fair value range,False,2026-09-03T04:11:39.453998
VCS850,0.686,0.6815448594756326,0.91,-0.1769845629988082,fair value range,False,2026-09-03T04:11:39.453998
VCS498,0.91,1.0047605861639275,0.98,-0.13150665233085504,fair value range,False,2026-09-03T04:11:39.453998
VCS1205,0.77,0.8388473440208989,0.84,-0.1288415698929312,fair value range,False,2026-09-03T04:11:39.453998
VCS849,0.7,0.6640068369287393,0.77,-0.02384383388388584,fair value range,False,2026-09-03T04:11:39.453998
VCS896,0.7,0.6805607406008467,0.728,-0.00859747380958372,fair value range,False,2026-09-03T04:11:39.453998
VCS1427,0.84,0.8382722612727874,0.84,-0.005007036787365423,fair value range,False,2026-09-03T04:11:39.453998
VCS917,0.84,0.8374953567991097,0.84,-0.004269198496360882,fair value range,False,2026-09-03T04:11:39.453998
VCS1100,0.84,0.8369021584922876,0.84,-0.003705367846572446,fair value range,False,2026-09-03T04:11:39.453998
VCS1195,0.98,0.9736192027501833,0.98,-0.0014473575314605238,fair value range,False,2026-09-03T04:11:39.453998
VCS1525,0.98,0.9704091351411238,0.98,0.00118060587296262,fair value range,False,2026-09-03T04:11:39.453998
VCS1464,0.84,0.830845760002392,0.84,0.0020741721648165155,fair value range,False,2026-09-03T04:11:39.453998
VCS708,0.728,0.6875206744876692,0.77,0.004037360918233465,fair value range,False,2026-09-03T04:11:39.453998
VCS1190,1.008,0.9932598936488188,0.98,0.02257591502927691,fair value range,False,2026-09-03T04:11:39.453998
VCS655,0.98,0.9405454976283404,0.98,0.026053998056153205,fair value range,False,2026-09-03T04:11:39.453998
VCS391,0.868,0.8034560290980833,0.826,0.08565009715657619,fair value range,False,2026-09-03T04:11:39.453998
VCS1758,0.896,0.8353301999162142,0.84,0.08923710427754536,fair value range,False,2026-09-03T04:11:39.453998
VCS1174,0.826,0.7970512198534637,0.728,0.10019429353810197,fair value range,False,2026-09-03T04:11:39.453998
VCS1258,1.19,1.2094627672837586,0.98,0.10105020342533591,fair value range,False,2026-09-03T04:11:39.453998
VCS10,0.77,0.6663698900459268,0.7,0.1675813150192936,fair value range,False,2026-09-03T04:11:39.453998
VCS1547,1.4,1.1712849135859398,0.91,0.402885488480994,fair value range,False,2026-09-03T04:11:39.453998
VCS817,0.7,0.37410572479055054,0.7,0.49192605001482664,fair value range,False,2026-09-03T04:11:39.453998
VCS476,0.7,0.37050834279030564,0.7,0.4996149821856705,fair value range,False,2026-09-03T04:11:39.453998
VCS2026,0.98,0.5820038468192745,0.84,0.5037557797159051,fair value range,False,2026-09-03T04:11:39.453998
VCS292,1.456,0.9356981392801493,0.77,0.7409252747124282,fair value range,False,2026-09-03T04:11:39.453998
VCS1140,1.4,0.7756140903548912,0.84,0.7806160164807382,fair value range,False,2026-09-03T04:11:39.453998
VCS1146,3.22,2.168189284530328,1.4,0.8254487127443253,fair value range,False,2026-09-03T04:11:39.453998
VCS1650,5.6,3.3209881912097923,1.82,1.1072965489906326,moderate potential overvaluation,False,2026-09-03T04:11:39.453998
VCS674,6.999999999999999,3.489537968067482,2.8,1.1164874611841618,moderate potential overvaluation,False,2026-09-03T04:11:39.453998
VCS982,2.8,1.4301473693474052,0.91,1.2261322210728136,moderate potential overvaluation,False,2026-09-03T04:11:39.453998
VCS812,5.095999999999999,3.179856961056614,1.26,1.2366434667384867,moderate potential overvaluation,False,2026-09-03T04:11:39.453998
VCS68,2.8,1.3345572831416266,0.84,1.3309012308579333,moderate potential overvaluation,False,2026-09-03T04:11:39.453998
VCS1764,42.00000000000001,2.1351531311356275,1.05,4.655446075138364,strong potential overvaluation,False,2026-09-03T04:11:39.453998
